thing;gravity;surprise;ambiguous-agitation;ambiguous-fear;pensiveness;ambiguous-expectation
;dear;amaze;agitate;fear;brooding;anticipant
;devout;amazed;agitated;hero-worship;broody;anticipate
;earnest;amazing;electrifying;idolize;contemplative;anticipative
;earnestly;amazingly;excite;revere;meditative;desire
;heartfelt;astonied;fire_up;reverence;musing;expect
;in_earnest;astonish;foment;reverent;pensive;expectant
;seriously;astonished;heat;reverentially;pensively;expectantly
;;astonishing;ignite;reverently;pondering;fevered
;;astonishingly;incite;venerate;reflective;feverish
;;astound;inflame;worship;ruminative;feverishly
;;astounded;instigate;;wistful;hectic
;;astounding;scandalmongering;;;hope
;;awe;sensational;;;hopeful
;;awed;sensationalistic;;;hopefully
;;awestricken;sensationally;;;trust
;;awestruck;set_off;;;
;;awful;shake;;;
;;baffle;shake_up;;;
;;beat;stimulate;;;
;;besot;stir;;;
;;bewilder;stir_up;;;
;;dazed;thrilling;;;
;;dumbfound;touch;;;
;;dumbfounded;yellow;;;
;;dumfounded;;;;
;;fantastic;;;;
;;flabbergasted;;;;
;;flummox;;;;
;;get;;;;
;;gravel;;;;
;;howling;;;;
;;in_awe_of;;;;
;;marvel;;;;
;;marvellously;;;;
;;marvelous;;;;
;;marvelously;;;;
;;mystify;;;;
;;nonplus;;;;
;;perplex;;;;
;;puzzle;;;;
;;rattling;;;;
;;staggering;;;;
;;stun;;;;
;;stunned;;;;
;;stupefied;;;;
;;stupefy;;;;
;;stupefying;;;;
;;stupid;;;;
;;stupify;;;;
;;superbly;;;;
;;surprise;;;;
;;surprised;;;;
;;surprisedly;;;;
;;surprising;;;;
;;surprisingly;;;;
;;terrific;;;;
;;terrifically;;;;
;;thunderstruck;;;;
;;toppingly;;;;
;;tremendous;;;;
;;trounce;;;;
;;wonder;;;;
;;wonderful;;;;
;;wonderfully;;;;
;;wondrous;;;;
;;wondrously;;;;
